time,mouseX,mouseY,mouseClickAmount,uuid,uuidType,fps,drawCalls,entities,pointAmount,linesAmount,polyAmount,pointsAmount,voronoiTime,delaunayTime,M
0.438267,243,165,0,0,-1,587.11,0,0,0,0,0,0,0,0,0
0.439883,243,165,0,0,-1,595.394,0,0,0,0,0,0,0,0,0
0.441571,243,165,0,0,-1,598.63,0,0,0,0,0,0,0,0,0
0.443266,243,165,0,0,-1,600.002,0,0,0,0,0,0,0,0,0
0.444884,243,165,0,0,-1,595.395,0,0,0,0,0,0,0,0,0
0.446625,243,165,0,0,-1,599.11,0,0,0,0,0,0,0,0,0
0.44824,243,165,0,0,-1,603.689,0,0,0,0,0,0,0,0,0
0.449896,243,165,0,0,-1,609.316,0,0,0,0,0,0,0,0,0
0.45157,243,165,0,0,-1,601.964,0,0,0,0,0,0,0,0,0
0.453309,243,165,0,0,-1,585.61,0,0,0,0,0,0,0,0,0
0.454924,243,165,0,0,-1,630.927,0,0,0,0,0,0,0,0,0
0.456618,243,165,0,0,-1,569.022,0,0,0,0,0,0,0,0,0
0.45838,243,165,0,0,-1,581.084,0,0,0,0,0,0,0,0,0
0.460088,243,165,0,0,-1,580.836,0,0,0,0,0,0,0,0,0
0.461699,243,165,0,0,-1,582.505,0,0,0,0,0,0,0,0,0
0.463416,243,165,0,0,-1,607.852,0,0,0,0,0,0,0,0,0
0.4652,243,165,0,0,-1,565.377,0,0,0,0,0,0,0,0,0
0.466881,243,165,0,0,-1,595.67,0,0,0,0,0,0,0,0,0
0.468481,243,165,0,0,-1,608.338,0,0,0,0,0,0,0,0,0
0.470257,243,165,0,0,-1,568.776,0,0,0,0,0,0,0,0,0
0.4719,243,165,0,0,-1,603.022,0,0,0,0,0,0,0,0,0
0.473592,243,165,0,0,-1,603.767,0,0,0,0,0,0,0,0,0
0.475211,243,165,0,0,-1,605.372,0,0,0,0,0,0,0,0,0
0.476891,243,165,0,0,-1,583.436,0,0,0,0,0,0,0,0,0
0.478552,243,165,0,0,-1,640.497,0,0,0,0,0,0,0,0,0
0.480277,243,165,0,0,-1,568.327,0,0,0,0,0,0,0,0,0
0.481873,243,165,0,0,-1,629.79,0,0,0,0,0,0,0,0,0
0.483648,243,165,0,0,-1,549.799,0,0,0,0,0,0,0,0,0
0.485302,243,165,0,0,-1,622.263,0,0,0,0,0,0,0,0,0
0.486885,243,165,0,0,-1,622.217,0,0,0,0,0,0,0,0,0
0.488584,243,165,0,0,-1,591.271,0,0,0,0,0,0,0,0,0
0.490312,243,165,0,0,-1,587.625,0,0,0,0,0,0,0,0,0
0.4919,243,165,0,0,-1,621.517,0,0,0,0,0,0,0,0,0
0.493596,243,165,0,0,-1,589.661,0,0,0,0,0,0,0,0,0
0.495255,243,165,0,0,-1,603.728,0,0,0,0,0,0,0,0,0
0.496905,243,165,0,0,-1,613.815,0,0,0,0,0,0,0,0,0
0.498594,243,165,0,0,-1,588.668,0,0,0,0,0,0,0,0,0
0.500252,243,165,0,0,-1,597.171,0,0,0,0,0,0,0,0,0
0.50188,243,165,0,0,-1,611.828,0,0,0,0,0,0,0,0,0
0.503667,243,165,0,0,-1,587.147,0,0,0,0,0,0,0,0,0
0.505358,243,165,0,0,-1,593.152,0,0,0,0,0,0,0,0,0
0.507063,243,165,0,0,-1,576.75,0,0,0,0,0,0,0,0,0
0.508778,243,165,0,0,-1,553.573,0,0,0,0,0,0,0,0,0
0.510536,243,165,0,0,-1,585.309,0,0,0,0,0,0,0,0,0
0.512264,243,165,0,0,-1,575.086,0,0,0,0,0,0,0,0,0
0.513944,243,165,0,0,-1,619.133,0,0,0,0,0,0,0,0,0
0.515646,243,165,0,0,-1,555.34,0,0,0,0,0,0,0,0,0
0.5174,243,165,0,0,-1,585.706,0,0,0,0,0,0,0,0,0
0.519152,243,165,0,0,-1,572.926,0,0,0,0,0,0,0,0,0
0.520831,243,165,0,0,-1,597.969,0,0,0,0,0,0,0,0,0
0.522598,243,165,0,0,-1,570.695,0,0,0,0,0,0,0,0,0
0.524345,243,165,0,0,-1,585.279,0,0,0,0,0,0,0,0,0
0.526072,243,165,0,0,-1,553.038,0,0,0,0,0,0,0,0,0
0.527792,243,165,0,0,-1,572.934,0,0,0,0,0,0,0,0,0
0.529521,243,165,0,0,-1,615.878,0,0,0,0,0,0,0,0,0
0.531252,243,165,0,0,-1,560.131,0,0,0,0,0,0,0,0,0
0.533003,243,165,0,0,-1,570.525,0,0,0,0,0,0,0,0,0
0.534713,243,165,0,0,-1,574.447,0,0,0,0,0,0,0,0,0
0.536454,243,165,0,0,-1,615.83,0,0,0,0,0,0,0,0,0
0.53818,243,165,0,0,-1,561.173,0,0,0,0,0,0,0,0,0
0.539917,243,165,0,0,-1,593.51,0,0,0,0,0,0,0,0,0
0.541891,243,165,0,0,-1,471.702,0,0,0,0,0,0,0,0,0
0.543417,243,165,0,0,-1,681.431,0,0,0,0,0,0,0,0,0
0.545345,243,165,0,0,-1,538.41,0,0,0,0,0,0,0,0,0
0.547054,243,165,0,0,-1,558.344,0,0,0,0,0,0,0,0,0
0.548814,243,165,0,0,-1,561.711,0,0,0,0,0,0,0,0,0
0.55032,243,165,0,0,-1,659.913,0,0,0,0,0,0,0,0,0
0.552138,243,165,0,0,-1,583.816,0,0,0,0,0,0,0,0,0
